#RPLIDAR SCAN DATA
#COUNT=482
#Angule	Distance	Quality
359.8572 2779.0 188
0.2472 2787.0 188
0.6537 2794.0 188
1.0437 2795.0 188
1.4337 2790.0 188
1.8237 2786.0 188
2.2302 2785.0 188
2.6202 2789.0 188
3.0103 2797.0 188
3.4058 2804.0 188
3.8123 2816.0 188
4.5923 2941.0 188
5.3888 2812.0 188
5.7788 2817.0 188
6.1688 2814.0 188
8.1354 1779.0 188
8.5419 1794.0 188
8.9374 1829.0 188
10.5139 1627.0 188
10.9039 1628.0 188
11.2939 1629.0 188
11.7004 1629.0 188
12.0740 1632.0 188
12.4640 1637.0 188
12.8540 1639.0 188
13.2495 1642.0 188
13.6395 1646.0 188
14.0295 1647.0 188
14.4196 1644.0 188
14.8096 1642.0 188
15.1996 1648.0 188
15.5896 1650.0 188
15.9796 1634.0 188
17.1387 1040.0 188
17.5287 1042.0 188
19.0887 1671.0 188
19.4843 1675.0 188
19.8743 1680.0 188
20.2643 1683.0 188
20.6543 1689.0 188
21.0443 1699.0 188
21.4343 1704.0 188
21.8243 1706.0 188
22.1979 1704.0 188
22.5934 1705.0 188
22.9834 1716.0 188
23.3734 1719.0 188
23.7634 1716.0 188
24.1534 1723.0 188
24.9335 1849.0 188
25.3235 1852.0 188
25.7135 1859.0 188
26.1090 1866.0 188
26.4990 1871.0 188
26.8890 1875.0 188
27.2791 1877.0 188
27.6526 1885.0 188
33.1073 430.0 188
33.4973 429.0 188
33.8873 426.0 188
34.2773 424.0 188
34.6674 425.0 188
35.0464 433.0 188
35.4364 441.0 188
38.5620 2139.0 188
38.9355 2140.0 188
40.4956 1289.0 188
40.8856 1287.0 188
41.2811 1284.0 188
41.6711 1280.0 188
42.0612 1278.0 188
42.4512 1279.0 188
42.8412 1281.0 188
46.3239 325.0 188
46.7139 325.0 188
47.1094 326.0 188
47.4994 330.0 188
48.2794 346.0 188
50.9985 963.0 188
51.7786 977.0 188
52.5421 1009.0 188
52.9321 1024.0 188
53.3276 1016.0 188
53.7177 1010.0 188
54.1077 1009.0 188
54.4977 1008.0 188
54.8877 1001.0 188
55.2777 994.0 188
55.6512 989.0 188
56.0468 985.0 188
56.4368 978.0 188
56.8268 975.0 188
57.2168 976.0 188
57.6068 979.0 188
57.9968 986.0 188
58.3868 998.0 188
58.7769 1011.0 188
59.1669 1023.0 188
59.5624 1033.0 188
59.9524 1042.0 188
60.3424 1055.0 188
60.7324 1071.0 188
61.1389 1084.0 188
61.5289 1094.0 188
61.9189 1105.0 188
62.3090 1119.0 188
62.6990 1133.0 188
63.0890 1149.0 188
63.4790 1168.0 188
63.8855 1189.0 188
65.8411 1405.0 188
66.6376 1434.0 188
68.2031 1609.0 188
68.5931 1607.0 188
68.9996 1604.0 188
69.3896 1601.0 188
69.7797 1600.0 188
70.1697 1601.0 188
70.5597 1600.0 188
70.9497 1592.0 188
71.3397 1588.0 188
76.0419 289.0 188
76.4374 287.0 188
76.8274 284.0 188
77.6074 288.0 188
77.9974 293.0 188
78.3875 292.0 188
78.7775 293.0 188
79.1675 294.0 188
82.2766 517.0 188
85.0122 692.0 188
85.4022 690.0 188
85.7922 688.0 188
88.9178 2597.0 188
89.3079 2597.0 188
89.6979 2598.0 188
90.0934 2596.0 188
92.8235 2712.0 188
95.9491 7408.0 188
96.3391 7409.0 188
97.5146 3379.0 188
99.0747 2748.0 188
99.4647 2750.0 188
102.5903 5448.0 188
103.3704 5639.0 188
104.1559 5360.0 188
104.5459 5331.0 188
109.2316 3120.0 188
109.6216 3089.0 188
110.0116 2986.0 188
112.7472 1558.0 188
113.1372 1561.0 188
113.5437 1563.0 188
113.9337 1568.0 188
115.4993 2756.0 188
115.8893 2775.0 188
116.6693 2935.0 188
117.0593 2947.0 188
117.4493 2971.0 188
117.8394 2993.0 188
118.2294 3003.0 188
118.6249 3005.0 188
119.0149 3019.0 188
120.5750 1651.0 188
120.9814 1655.0 188
121.3715 1660.0 188
122.9370 1072.0 188
123.3270 1066.0 188
124.8871 864.0 188
125.2771 861.0 188
125.6671 858.0 188
126.0571 865.0 188
127.6227 1528.0 188
128.0127 1523.0 188
128.4027 1506.0 188
128.7927 1485.0 188
129.1827 1476.0 188
129.5728 1473.0 188
129.9683 1461.0 188
130.3583 1456.0 188
131.1383 1438.0 188
132.3083 1220.0 188
132.6984 1216.0 188
133.0884 1211.0 188
133.4839 1209.0 188
133.8739 1214.0 188
134.2639 1223.0 188
134.6539 1227.0 188
135.0439 1230.0 188
135.4340 1237.0 188
137.7960 1241.0 188
138.1860 1242.0 188
138.5760 1240.0 188
138.9661 1236.0 188
139.3561 1225.0 188
139.7461 1204.0 188
157.7802 377.0 188
158.1702 375.0 188
174.2322 135.0 188
174.6057 136.0 188
175.7812 135.0 188
176.9513 134.0 188
177.3413 133.0 188
178.4949 132.0 188
179.6704 132.0 188
180.0604 133.0 188
181.2140 134.0 188
181.9995 138.0 188
183.1696 139.0 188
187.0752 139.0 188
189.0308 156.0 188
189.8108 164.0 188
190.2008 157.0 188
199.1821 280.0 188
201.5112 372.0 188
204.2468 3596.0 188
204.6368 3596.0 188
205.0269 3593.0 188
205.4169 3587.0 188
205.8124 3585.0 188
206.2024 3588.0 188
206.5924 3595.0 188
206.9824 3611.0 188
207.3724 3629.0 188
209.7180 177.0 188
214.7937 1835.0 188
215.1837 1853.0 188
215.5737 1874.0 188
215.9637 1870.0 188
216.3593 1875.0 188
216.7493 1896.0 188
217.1393 1909.0 188
217.5293 1921.0 188
217.9193 1941.0 188
218.3093 1962.0 188
218.6993 1979.0 188
219.1058 2001.0 188
219.4958 2023.0 188
221.0614 1395.0 188
221.4514 1393.0 188
221.8414 1399.0 188
222.2314 1409.0 188
222.6215 1414.0 188
223.0280 1425.0 188
223.4180 1436.0 188
223.8080 1437.0 188
224.1980 1447.0 188
224.5935 1465.0 188
224.9835 1473.0 188
225.3735 1480.0 188
225.7635 1493.0 188
226.1536 1506.0 188
226.5436 1522.0 188
226.9501 1531.0 188
227.3401 1530.0 188
227.7301 1538.0 188
228.1201 1553.0 188
228.5156 1570.0 188
228.9056 1587.0 188
229.2957 1596.0 188
229.6857 1599.0 188
230.0757 1599.0 188
230.8722 1625.0 188
231.6522 1670.0 188
232.0422 1688.0 188
232.4323 1698.0 188
233.9978 1975.0 188
234.3878 1967.0 188
234.7778 1967.0 188
235.1678 1979.0 188
235.5579 1976.0 188
235.9479 1979.0 188
238.2935 2120.0 188
238.7000 2130.0 188
239.0900 2165.0 188
239.4800 2185.0 188
240.2655 2078.0 188
240.6555 2086.0 188
241.0455 2110.0 188
241.4355 2144.0 188
241.8256 2173.0 188
242.2156 2193.0 188
242.6056 2214.0 188
242.9956 2247.0 188
243.3856 2283.0 188
243.7811 2310.0 188
244.1711 2336.0 188
244.5612 2365.0 188
246.5112 3521.0 188
246.9012 3517.0 188
247.2968 3507.0 188
247.6868 3491.0 188
248.0768 3459.0 188
248.4668 3383.0 188
248.8568 3368.0 188
249.2468 3351.0 188
250.8124 1442.0 188
252.3560 3312.0 188
253.9215 1516.0 188
254.3115 1506.0 188
254.7015 1494.0 188
256.2616 3508.0 188
258.2007 2035.0 188
261.3263 3928.0 188
263.2654 1442.0 188
263.6554 1441.0 188
265.6055 2029.0 188
265.9955 2049.0 188
267.1710 1351.0 188
267.5610 1356.0 188
267.9510 1363.0 188
268.3411 1361.0 188
268.7311 1355.0 188
269.1211 1354.0 188
269.4946 1354.0 188
269.8901 1348.0 188
270.2802 1341.0 188
270.6702 1336.0 188
271.0602 1332.0 188
271.4502 1334.0 188
271.8402 1338.0 188
273.4058 940.0 188
273.7958 942.0 188
274.1858 947.0 188
274.5758 949.0 188
274.9658 951.0 188
275.3558 952.0 188
275.7458 948.0 188
276.1359 949.0 188
276.5259 958.0 188
276.9214 963.0 188
277.3114 958.0 188
277.7014 952.0 188
278.0914 949.0 188
278.4814 948.0 188
278.8715 949.0 188
279.2615 954.0 188
279.6680 959.0 188
280.0580 961.0 188
280.4480 971.0 188
280.8435 988.0 188
281.2335 1001.0 188
281.6235 1015.0 188
282.4200 1049.0 188
282.8101 1076.0 188
283.9801 961.0 188
284.3866 960.0 188
284.7766 958.0 188
285.1666 961.0 188
285.5621 968.0 188
285.9521 970.0 188
286.3586 974.0 188
286.7487 977.0 188
287.1387 975.0 188
287.5287 977.0 188
287.9187 981.0 188
288.3087 980.0 188
288.7152 978.0 188
289.1052 977.0 188
289.4952 978.0 188
289.8853 986.0 188
290.2808 998.0 188
290.6708 1009.0 188
291.0773 1015.0 188
291.4673 1014.0 188
291.8573 1009.0 188
292.2473 1003.0 188
292.6373 1003.0 188
293.0438 1009.0 188
293.4338 1014.0 188
293.8239 1017.0 188
294.2139 1020.0 188
294.6094 1024.0 188
294.9994 1023.0 188
295.3894 1022.0 188
295.7794 1024.0 188
296.1694 1023.0 188
296.5594 1023.0 188
296.9495 1028.0 188
297.3560 1029.0 188
300.0916 2339.0 188
305.9802 2639.0 188
306.3702 2637.0 188
308.3258 1731.0 188
308.7323 1719.0 188
311.4844 2122.0 188
312.2644 2091.0 188
312.6544 2045.0 188
313.0609 2027.0 188
313.4509 2027.0 188
313.8409 2048.0 188
314.2310 2090.0 188
314.6210 2121.0 188
315.0275 2118.0 188
315.4175 2091.0 188
315.8075 2056.0 188
316.2030 2032.0 188
316.9995 2123.0 188
317.3895 2134.0 188
317.7795 2164.0 188
320.5261 2143.0 188
320.9326 2102.0 188
321.3281 2106.0 188
321.7181 2120.0 188
322.1082 2145.0 188
323.6847 2257.0 188
324.0747 2257.0 188
325.6512 2990.0 188
326.0468 3007.0 188
326.4368 3036.0 188
326.8268 3065.0 188
328.3868 3195.0 188
329.5624 3196.0 188
329.9634 3206.0 188
330.3589 3219.0 188
330.7489 3214.0 188
333.0890 3008.0 188
333.4790 2989.0 188
333.8745 2975.0 188
334.2645 2999.0 188
334.6545 3023.0 188
335.0610 3047.0 188
335.4510 3077.0 188
336.2311 3237.0 188
336.6211 3230.0 188
337.0111 3218.0 188
337.7966 3031.0 188
338.1866 3020.0 188
338.5767 3007.0 188
338.9667 2996.0 188
339.3567 2987.0 188
339.7467 2996.0 188
340.1532 2996.0 188
340.5432 2964.0 188
340.9332 2933.0 188
341.3232 2931.0 188
341.7188 2941.0 188
342.1088 2953.0 188
342.4988 2964.0 188
342.9053 2940.0 188
343.2953 2908.0 188
343.6853 2899.0 188
344.0753 2897.0 188
344.4653 2893.0 188
344.8553 2890.0 188
345.2454 2890.0 188
345.6519 2889.0 188
346.0419 2879.0 188
346.4374 2868.0 188
346.8274 2865.0 188
347.2174 2864.0 188
347.6074 2861.0 188
347.9974 2850.0 188
348.4039 2836.0 188
348.7939 2827.0 188
349.1840 2818.0 188
349.5740 2817.0 188
349.9640 2816.0 188
350.3540 2809.0 188
350.7605 2805.0 188
351.1560 2804.0 188
351.5460 2810.0 188
351.9360 2815.0 188
352.3260 2809.0 188
352.7161 2804.0 188
353.1061 2801.0 188
353.5126 2794.0 188
353.9026 2790.0 188
354.2926 2792.0 188
354.6826 2797.0 188
355.0781 2801.0 188
355.4681 2802.0 188
355.8746 2801.0 188
356.2646 2795.0 188
356.6547 2792.0 188
357.0447 2795.0 188
357.4347 2794.0 188
357.8412 2789.0 188
358.2312 2786.0 188
358.6212 2788.0 188
359.0112 2787.0 188
359.4177 2780.0 188
