#RPLIDAR SCAN DATA
#COUNT=437
#Angule	Distance	Quality
359.9835 2842.0 188
0.3735 2845.0 188
0.7800 2844.0 188
1.1865 2845.0 188
1.5765 2848.0 188
1.9830 2847.0 188
2.3895 2848.0 188
2.7795 2851.0 188
3.1860 2863.0 188
3.5760 2883.0 188
3.9825 2882.0 188
4.3890 2868.0 188
4.7791 2871.0 188
5.1855 2877.0 188
5.5920 2877.0 188
5.9821 2878.0 188
8.3881 1936.0 188
8.7946 1934.0 188
9.9811 1788.0 188
10.3876 1792.0 188
10.7941 1794.0 188
11.1841 1793.0 188
11.5906 1796.0 188
11.9971 1799.0 188
12.3871 1800.0 188
12.7936 1801.0 188
13.1836 1801.0 188
13.5901 1805.0 188
13.9966 1811.0 188
14.3866 1813.0 188
14.7931 1817.0 188
15.1996 1820.0 188
18.3582 1825.0 188
18.7646 1838.0 188
19.1547 1847.0 188
19.5447 1855.0 188
19.9512 1859.0 188
20.3412 1867.0 188
20.7312 1875.0 188
23.1042 1843.0 188
24.7028 1982.0 188
25.0928 1984.0 188
26.2793 1997.0 188
26.6858 2017.0 188
27.0758 2028.0 188
31.0419 565.0 188
31.4374 569.0 188
31.8274 575.0 188
32.2174 582.0 188
32.6239 587.0 188
33.0139 592.0 188
33.4039 596.0 188
33.8104 594.0 188
34.2004 591.0 188
34.5905 594.0 188
34.9969 595.0 188
35.3870 591.0 188
35.7770 581.0 188
36.1835 568.0 188
36.5735 560.0 188
37.3700 543.0 188
39.7485 505.0 188
40.1385 479.0 188
40.5286 478.0 188
40.9351 484.0 188
41.3251 495.0 188
41.7151 499.0 188
42.1216 498.0 188
42.5116 500.0 188
42.9016 501.0 188
43.3081 501.0 188
43.6981 505.0 188
44.0936 504.0 188
44.4946 498.0 188
44.8901 491.0 188
45.2802 486.0 188
45.6702 480.0 188
46.0767 478.0 188
46.4667 475.0 188
46.8732 471.0 188
47.2632 471.0 188
47.6532 472.0 188
48.0432 471.0 188
48.4497 470.0 188
48.8397 467.0 188
49.2297 464.0 188
49.6362 464.0 188
50.0262 461.0 188
50.4218 455.0 188
50.8118 451.0 188
51.2183 449.0 188
51.6083 446.0 188
51.9983 443.0 188
52.4048 442.0 188
52.7948 440.0 188
53.1848 439.0 188
53.5913 438.0 188
53.9813 437.0 188
54.3713 441.0 188
54.7614 449.0 188
55.5579 447.0 188
56.3544 433.0 188
56.7499 424.0 188
57.1399 418.0 188
57.5464 418.0 188
57.9364 422.0 188
58.3264 423.0 188
58.7164 423.0 188
59.1229 422.0 188
59.5129 421.0 188
59.9030 422.0 188
60.3094 423.0 188
60.6995 423.0 188
61.0895 422.0 188
71.4661 785.0 188
