#RPLIDAR SCAN DATA
#COUNT=541
#Angule	Distance	Quality
359.8572 2953.0 188
0.2637 2945.0 188
0.6537 2942.0 188
1.0602 2948.0 188
1.4502 2951.0 188
1.8567 2952.0 188
2.2467 2957.0 188
2.6532 2961.0 188
3.0432 2980.0 188
3.4497 3008.0 188
3.8397 3003.0 188
6.2292 2984.0 188
6.6248 2980.0 188
7.0312 2990.0 188
7.4213 3008.0 188
7.8278 3029.0 188
8.2178 3049.0 188
8.6243 3033.0 188
9.0143 2999.0 188
9.4208 2999.0 188
9.8108 3024.0 188
10.2173 3023.0 188
10.6073 3004.0 188
11.0138 3008.0 188
11.4038 3024.0 188
11.8103 3034.0 188
12.2003 3038.0 188
12.6068 3035.0 188
16.1554 3019.0 188
16.5454 3021.0 188
16.9354 3113.0 188
17.3254 3126.0 188
20.4840 884.0 188
20.8740 882.0 188
21.2640 877.0 188
23.6206 2634.0 188
24.0106 2619.0 188
25.9827 1929.0 188
26.3727 1935.0 188
26.7627 1945.0 188
27.1692 1952.0 188
27.5592 1960.0 188
27.9492 1968.0 188
28.3392 1978.0 188
28.7292 1980.0 188
29.1357 1957.0 188
29.5148 1923.0 188
29.9048 1904.0 188
30.2948 1905.0 188
30.6848 1909.0 188
31.0748 1901.0 188
31.4648 1879.0 188
31.8549 1852.0 188
32.2449 1828.0 188
32.6404 1812.0 188
33.0304 1804.0 188
33.4204 1796.0 188
33.8104 1777.0 188
34.2004 1753.0 188
34.5905 1740.0 188
34.9805 1744.0 188
35.3705 1752.0 188
35.7605 1756.0 188
36.1560 1759.0 188
36.5460 1768.0 188
36.9196 1779.0 188
37.3096 1789.0 188
37.6996 1805.0 188
38.4796 1716.0 188
40.0452 1134.0 188
40.4352 1131.0 188
40.8252 1131.0 188
43.1708 1403.0 188
43.5608 1399.0 188
43.9508 1391.0 188
44.3408 1387.0 188
44.7308 1381.0 188
45.1208 1369.0 188
45.5109 1360.0 188
45.9009 1349.0 188
46.2964 1325.0 188
46.6864 1301.0 188
47.0764 1292.0 188
47.4664 1295.0 188
47.8564 1299.0 188
48.2465 1303.0 188
48.6365 1306.0 188
49.0265 1303.0 188
49.4165 1304.0 188
49.8120 1309.0 188
50.2020 1308.0 188
50.9821 1223.0 188
51.3721 1220.0 188
51.7621 1215.0 188
52.1521 1210.0 188
54.5142 392.0 188
54.9042 392.0 188
55.2942 390.0 188
55.6842 386.0 188
56.0742 385.0 188
56.4642 383.0 188
56.8542 381.0 188
57.2498 381.0 188
57.6398 380.0 188
58.0298 379.0 188
58.4198 377.0 188
58.8098 376.0 188
59.1998 377.0 188
59.9799 371.0 188
60.3864 364.0 188
60.7764 364.0 188
61.1719 364.0 188
61.5619 365.0 188
61.9684 367.0 188
62.3584 368.0 188
62.7484 365.0 188
63.1549 359.0 188
63.5449 359.0 188
64.3414 357.0 188
64.7314 353.0 188
65.1215 352.0 188
65.5280 351.0 188
65.9180 349.0 188
66.3080 351.0 188
67.1045 350.0 188
67.5000 350.0 188
67.9010 354.0 188
68.2965 355.0 188
69.0930 350.0 188
69.4830 348.0 188
69.8730 352.0 188
70.6696 347.0 188
71.0596 343.0 188
71.4661 345.0 188
71.8561 345.0 188
72.2461 344.0 188
72.6526 345.0 188
73.0426 347.0 188
73.4326 348.0 188
73.8391 351.0 188
74.2291 353.0 188
74.6246 353.0 188
75.0146 353.0 188
75.4211 357.0 188
76.2177 353.0 188
76.6077 350.0 188
76.9977 355.0 188
77.3877 360.0 188
78.1677 358.0 188
78.5577 354.0 188
78.9478 354.0 188
79.3542 354.0 188
79.7498 353.0 188
80.1398 354.0 188
80.5298 356.0 188
80.9198 356.0 188
81.3098 354.0 188
81.6998 352.0 188
82.0898 351.0 188
82.4963 350.0 188
82.8864 349.0 188
83.2764 350.0 188
83.6719 350.0 188
84.0619 350.0 188
84.4519 352.0 188
84.8419 353.0 188
85.2319 353.0 188
85.6384 352.0 188
86.0284 352.0 188
86.4185 354.0 188
87.1985 352.0 188
87.5885 348.0 188
87.9840 352.0 188
88.3740 357.0 188
88.7805 359.0 188
89.1705 357.0 188
89.5605 355.0 188
89.9506 351.0 188
90.7306 352.0 188
91.1206 354.0 188
91.5106 352.0 188
91.9171 353.0 188
92.3071 354.0 188
92.7026 353.0 188
93.0927 351.0 188
93.4827 349.0 188
93.8727 348.0 188
94.2627 348.0 188
94.6527 348.0 188
95.0427 350.0 188
95.4327 348.0 188
95.8228 345.0 188
96.2292 345.0 188
96.6248 342.0 188
97.0148 338.0 188
97.4048 333.0 188
97.7948 330.0 188
98.1848 332.0 188
98.5748 335.0 188
98.9648 339.0 188
99.3549 340.0 188
99.7449 337.0 188
100.1514 334.0 188
100.5469 333.0 188
100.9369 333.0 188
101.3269 332.0 188
102.1069 335.0 188
102.4969 341.0 188
102.8870 344.0 188
103.2770 343.0 188
104.0735 349.0 188
104.4635 356.0 188
104.8590 352.0 188
105.6390 343.0 188
106.0291 339.0 188
106.4191 342.0 188
106.8091 341.0 188
107.6056 345.0 188
107.9956 351.0 188
108.3856 351.0 188
108.7811 350.0 188
109.1711 349.0 188
109.5612 351.0 188
109.9677 354.0 188
110.3577 356.0 188
110.7477 356.0 188
111.5277 353.0 188
112.3242 356.0 188
112.7142 362.0 188
113.4998 356.0 188
113.9062 355.0 188
114.2963 360.0 188
114.6863 362.0 188
115.0763 364.0 188
115.4663 365.0 188
115.8728 363.0 188
116.2628 363.0 188
116.6528 361.0 188
117.0428 360.0 188
117.4329 361.0 188
117.8394 364.0 188
118.2294 369.0 188
118.6249 373.0 188
119.0149 372.0 188
119.4049 373.0 188
119.8114 374.0 188
120.2014 376.0 188
120.5914 379.0 188
