#RPLIDAR SCAN DATA
#COUNT=476
#Angule	Distance	Quality
359.6045 2832.0 188
0.0110 2837.0 188
0.4010 2843.0 188
0.7965 2834.0 188
1.1865 2826.0 188
1.5930 2833.0 188
1.9830 2840.0 188
2.3730 2852.0 188
2.7631 2873.0 188
3.1696 2887.0 188
3.5596 2900.0 188
3.9496 2912.0 188
4.3561 2904.0 188
4.7461 2896.0 188
5.1361 2894.0 188
5.5261 2888.0 188
5.9326 2888.0 188
6.3281 2884.0 188
6.7181 2881.0 188
7.1082 2883.0 188
7.9047 3002.0 188
8.2947 2993.0 188
11.8542 1444.0 188
13.4198 2919.0 188
13.8098 2947.0 188
14.1998 3054.0 188
14.5898 3083.0 188
14.9799 3111.0 188
15.7654 2916.0 188
16.1554 2919.0 188
17.3254 2502.0 188
19.2810 2279.0 188
19.6710 2284.0 188
21.2311 2295.0 188
21.6211 2290.0 188
24.7467 1777.0 188
25.5267 1809.0 188
26.3123 1925.0 188
26.7023 1923.0 188
28.2623 772.0 188
30.2179 1489.0 188
30.5914 1490.0 188
30.9814 1499.0 188
31.7615 1630.0 188
32.1515 1630.0 188
32.5415 1627.0 188
32.9370 1622.0 188
33.3270 1624.0 188
33.7006 1630.0 188
34.0906 1637.0 188
34.4806 1645.0 188
34.8706 1655.0 188
35.2606 1666.0 188
35.6561 1677.0 188
36.0461 1680.0 188
36.4362 1672.0 188
36.8097 1666.0 188
37.1997 1658.0 188
41.0889 2362.0 188
41.4844 2359.0 188
41.8744 2350.0 188
43.0280 2073.0 188
43.4180 2077.0 188
43.8080 2071.0 188
44.1980 2062.0 188
45.3735 1090.0 188
45.7635 1087.0 188
46.1371 1090.0 188
48.0927 2102.0 188
48.4827 2097.0 188
48.8727 2091.0 188
49.2462 2100.0 188
49.6362 2125.0 188
51.2018 3797.0 188
51.5918 3791.0 188
51.9818 3778.0 188
52.3553 3766.0 188
52.7454 3748.0 188
53.9209 1178.0 188
54.3109 1181.0 188
54.7009 1180.0 188
55.0909 1169.0 188
55.4645 1161.0 188
55.8545 1157.0 188
56.2500 1149.0 188
56.6400 1141.0 188
57.0300 1141.0 188
57.4200 1142.0 188
57.8101 1139.0 188
58.2001 1130.0 188
58.5901 1121.0 188
58.9801 1117.0 188
59.3701 1115.0 188
59.7656 1111.0 188
60.1556 1108.0 188
60.5457 1103.0 188
60.9521 1098.0 188
61.3422 1099.0 188
61.7322 1096.0 188
62.1222 1088.0 188
62.5122 1083.0 188
62.9022 1076.0 188
63.2922 1071.0 188
63.6987 1069.0 188
64.0887 1067.0 188
64.4843 1065.0 188
64.8743 1062.0 188
65.2643 1060.0 188
65.6543 1056.0 188
66.0443 1050.0 188
66.4508 1046.0 188
66.8408 1046.0 188
67.2308 1045.0 188
67.6208 1038.0 188
69.9829 422.0 188
70.3729 419.0 188
70.7629 415.0 188
71.5594 408.0 188
71.9495 403.0 188
72.3395 404.0 188
72.7295 403.0 188
73.1250 404.0 188
73.5150 405.0 188
74.2950 390.0 188
74.6851 374.0 188
75.0751 371.0 188
75.4651 367.0 188
75.8551 363.0 188
76.2451 362.0 188
76.6406 366.0 188
77.8107 370.0 188
78.2007 367.0 188
78.5907 361.0 188
78.9807 361.0 188
79.7607 376.0 188
80.1562 391.0 188
80.5463 395.0 188
80.9363 401.0 188
81.3263 404.0 188
81.6998 402.0 188
82.0898 400.0 188
82.4799 400.0 188
82.8699 398.0 188
83.2654 398.0 188
83.6554 400.0 188
84.0454 400.0 188
84.8254 392.0 188
85.2155 383.0 188
85.9955 387.0 188
86.7810 395.0 188
87.1710 395.0 188
87.5610 395.0 188
87.9510 398.0 188
88.3411 399.0 188
88.7311 399.0 188
89.1211 398.0 188
89.5111 400.0 188
89.8901 402.0 188
90.6702 407.0 188
91.0602 412.0 188
91.4502 412.0 188
91.8402 408.0 188
92.2302 400.0 188
93.0103 400.0 188
93.4058 400.0 188
93.7958 399.0 188
94.1858 404.0 188
94.5758 404.0 188
94.9493 401.0 188
95.3394 398.0 188
96.1249 381.0 188
96.5149 363.0 188
96.9049 363.0 188
97.2949 360.0 188
98.0750 360.0 188
98.4650 360.0 188
98.8550 356.0 188
99.2450 357.0 188
99.6405 359.0 188
100.0140 362.0 188
100.4041 365.0 188
102.3541 452.0 188
102.7496 454.0 188
103.1396 456.0 188
103.5297 459.0 188
103.9197 468.0 188
104.3097 476.0 188
104.6997 477.0 188
105.0897 476.0 188
105.4797 478.0 188
106.6553 481.0 188
107.0453 487.0 188
107.4518 489.0 188
108.2318 499.0 188
108.6218 509.0 188
109.4019 516.0 188
109.8083 527.0 188
120.8276 525.0 188
121.2177 523.0 188
122.3877 507.0 188
122.7777 489.0 188
123.1677 488.0 188
125.5133 1864.0 188
125.9033 1873.0 188
126.2933 1894.0 188
126.6833 1926.0 188
127.0734 1952.0 188
127.4634 1951.0 188
127.8589 1939.0 188
128.2489 1924.0 188
128.6389 1913.0 188
129.0289 1904.0 188
130.9790 1156.0 188
131.3745 1154.0 188
131.7645 1154.0 188
134.1046 1689.0 188
134.4946 1686.0 188
137.2467 1428.0 188
137.6367 1435.0 188
138.0267 1440.0 188
138.4167 1428.0 188
138.8123 1414.0 188
139.2023 1419.0 188
157.6373 345.0 188
158.4174 346.0 188
172.8864 139.0 188
174.0619 139.0 188
175.9955 134.0 188
177.1545 126.0 188
177.5446 125.0 188
178.3246 129.0 188
178.7146 132.0 188
179.8737 126.0 188
180.6537 121.0 188
182.5928 123.0 188
184.9219 125.0 188
185.3119 126.0 188
201.3245 375.0 188
202.5000 4148.0 188
202.8900 4132.0 188
203.2800 4089.0 188
203.6700 4009.0 188
204.0601 3979.0 188
205.6201 2173.0 188
206.0156 2180.0 188
210.3113 174.0 188
219.3091 1914.0 188
219.6991 1917.0 188
220.0891 1927.0 188
220.8856 2022.0 188
221.2811 2029.0 188
221.6711 2042.0 188
222.0612 2043.0 188
224.8077 2117.0 188
225.1978 2118.0 188
225.5933 2121.0 188
225.9833 2129.0 188
226.3733 2140.0 188
226.7633 2155.0 188
227.9498 2161.0 188
228.3398 2142.0 188
228.7299 2139.0 188
229.1199 2165.0 188
229.5154 2188.0 188
229.9054 2201.0 188
230.3119 2212.0 188
230.6854 2225.0 188
231.0754 2239.0 188
231.4655 2233.0 188
233.8110 970.0 188
236.1511 977.0 188
236.9366 961.0 188
237.3267 930.0 188
237.7167 913.0 188
238.1067 907.0 188
238.4967 907.0 188
238.8867 906.0 188
239.2767 909.0 188
239.6667 912.0 188
240.0623 913.0 188
240.4523 920.0 188
240.8423 929.0 188
242.7924 938.0 188
243.1824 950.0 188
243.5779 955.0 188
243.9679 954.0 188
244.3579 959.0 188
244.7479 962.0 188
245.1379 962.0 188
251.3892 1251.0 188
251.7792 1249.0 188
252.1692 1245.0 188
252.5592 1240.0 188
252.9492 1239.0 188
253.3392 1237.0 188
253.7292 1234.0 188
254.1248 1230.0 188
254.5148 1225.0 188
254.9048 1222.0 188
255.2948 1218.0 188
260.7605 946.0 188
262.7161 915.0 188
263.1061 882.0 188
263.4961 881.0 188
263.8861 888.0 188
264.2761 901.0 188
265.0616 884.0 188
265.8417 811.0 188
266.2317 807.0 188
266.6217 800.0 188
266.9952 796.0 188
267.3853 796.0 188
267.7808 793.0 188
268.1708 789.0 188
268.5608 785.0 188
268.9508 780.0 188
269.3408 776.0 188
269.7308 777.0 188
270.1208 780.0 188
270.5109 783.0 188
270.9009 780.0 188
271.2964 777.0 188
271.6864 779.0 188
272.0599 778.0 188
272.4500 776.0 188
272.8400 776.0 188
273.2300 776.0 188
273.6200 776.0 188
274.0155 776.0 188
274.4055 773.0 188
274.7955 769.0 188
275.1855 769.0 188
275.5756 773.0 188
275.9656 780.0 188
276.3556 781.0 188
276.7456 778.0 188
277.1356 781.0 188
277.5311 783.0 188
277.9211 783.0 188
278.3112 788.0 188
278.7012 795.0 188
279.0912 798.0 188
279.4812 796.0 188
279.8712 795.0 188
281.0577 795.0 188
281.4478 789.0 188
281.8433 784.0 188
282.2333 785.0 188
282.6233 784.0 188
287.3419 2032.0 188
287.7319 2045.0 188
288.1219 2070.0 188
288.5120 2081.0 188
288.9020 2077.0 188
289.2920 2079.0 188
289.6985 2085.0 188
290.0885 2081.0 188
290.4840 2075.0 188
290.8740 2089.0 188
295.9662 1556.0 188
296.3562 1554.0 188
296.7462 1553.0 188
297.1362 1554.0 188
300.2618 1389.0 188
301.8274 3865.0 188
302.2174 3871.0 188
302.6074 3900.0 188
304.1675 1694.0 188
304.5575 1691.0 188
306.9031 1438.0 188
307.2931 1441.0 188
307.6831 1449.0 188
308.0731 1456.0 188
308.8696 1428.0 188
309.2651 1383.0 188
310.0452 1301.0 188
310.4352 1300.0 188
310.8252 1295.0 188
311.2152 1281.0 188
311.6052 1275.0 188
312.3853 1259.0 188
312.7808 1255.0 188
313.5608 1257.0 188
316.2964 1172.0 188
316.7029 1164.0 188
317.0929 1163.0 188
317.4829 1177.0 188
317.8729 1182.0 188
318.2629 1184.0 188
318.6530 1199.0 188
319.0430 1216.0 188
319.4330 1224.0 188
319.8230 1225.0 188
320.2185 1235.0 188
320.6085 1250.0 188
320.9985 1263.0 188
321.3885 1269.0 188
321.7786 1281.0 188
322.1686 1294.0 188
322.9486 1318.0 188
323.3386 1343.0 188
323.7341 1355.0 188
324.1406 1370.0 188
324.5306 1379.0 188
324.9207 1386.0 188
325.3107 1404.0 188
325.7007 1429.0 188
326.0907 1446.0 188
326.4807 1442.0 188
327.2607 1460.0 188
327.6562 1486.0 188
329.6228 1602.0 188
330.0128 1605.0 188
330.4028 1608.0 188
335.4950 3149.0 188
335.8905 3146.0 188
336.2805 3135.0 188
336.6705 3103.0 188
337.0605 3062.0 188
337.4506 3033.0 188
337.8406 3041.0 188
338.2306 3131.0 188
338.6206 3156.0 188
339.0106 3170.0 188
339.4061 3143.0 188
339.8071 3125.0 188
340.2026 3117.0 188
340.5927 3115.0 188
340.9827 3116.0 188
341.3727 3088.0 188
341.7627 3042.0 188
342.1527 2963.0 188
342.5427 2948.0 188
342.9327 2949.0 188
343.3228 2985.0 188
343.7183 3011.0 188
344.1083 3008.0 188
344.4983 2990.0 188
344.8883 2981.0 188
345.2948 2982.0 188
345.6848 2985.0 188
346.0748 2980.0 188
346.4648 2969.0 188
346.8549 2967.0 188
347.2449 2971.0 188
347.6404 2962.0 188
348.0304 2945.0 188
348.4204 2927.0 188
348.8104 2916.0 188
349.2004 2914.0 188
349.5905 2913.0 188
349.9805 2909.0 188
350.3870 2905.0 188
350.7770 2901.0 188
351.1670 2896.0 188
351.5625 2890.0 188
351.9525 2889.0 188
352.3425 2886.0 188
352.7325 2879.0 188
353.1226 2881.0 188
353.5126 2880.0 188
353.9026 2870.0 188
354.2926 2863.0 188
354.6826 2860.0 188
355.0781 2857.0 188
355.4791 2853.0 188
355.8746 2852.0 188
356.2646 2855.0 188
356.6547 2855.0 188
357.0612 2849.0 188
357.4512 2838.0 188
357.8412 2834.0 188
358.2312 2839.0 188
358.6377 2840.0 188
359.0277 2834.0 188
359.4177 2829.0 188
