#RPLIDAR SCAN DATA
#COUNT=421
#Angule	Distance	Quality
359.8242 2892.0 188
0.2802 2901.0 188
0.7306 2904.0 188
1.1865 2898.0 188
1.6534 2903.0 188
2.1094 2914.0 188
2.5598 2916.0 188
3.0103 2916.0 188
3.4827 2915.0 188
3.9331 2904.0 188
6.2183 2901.0 188
6.6687 2904.0 188
7.1356 2929.0 188
7.5916 2959.0 188
8.0420 2947.0 188
8.4979 2930.0 188
8.9484 2924.0 188
9.4043 2921.0 188
9.8547 2932.0 188
10.3107 2949.0 188
10.7611 2956.0 188
11.6675 2806.0 188
12.1234 2798.0 188
13.4802 2953.0 188
22.0935 2104.0 188
25.2631 614.0 188
25.7025 618.0 188
26.1530 624.0 188
28.4216 1691.0 188
28.8721 1688.0 188
29.3280 1681.0 188
29.7784 1677.0 188
30.2344 1684.0 188
30.6848 1697.0 188
31.1353 1711.0 188
33.8544 1716.0 188
34.2938 1707.0 188
34.7498 1680.0 188
35.2002 1651.0 188
35.6561 1633.0 188
36.1066 1619.0 188
36.5625 1602.0 188
37.0129 1589.0 188
37.4634 1585.0 188
37.9193 1586.0 188
38.3698 1580.0 188
38.8257 1571.0 188
39.2761 1561.0 188
39.7321 1543.0 188
40.1825 1523.0 188
40.6384 1508.0 188
41.0889 1495.0 188
41.5448 1487.0 188
41.9952 1478.0 188
43.7915 2171.0 188
44.2474 2166.0 188
44.6979 2157.0 188
45.1538 2156.0 188
45.6042 2169.0 188
46.0602 2168.0 188
47.8564 892.0 188
48.3124 897.0 188
48.7628 911.0 188
50.5756 1188.0 188
52.3718 3406.0 188
54.1846 1087.0 188
54.6405 1084.0 188
55.0909 1082.0 188
55.5469 1092.0 188
57.3431 3220.0 188
57.7936 3211.0 188
58.2495 3190.0 188
60.5127 1006.0 188
60.9686 1006.0 188
62.7649 1224.0 188
64.5612 979.0 188
65.0116 969.0 188
65.4675 956.0 188
65.9180 952.0 188
66.3739 951.0 188
66.8079 948.0 188
67.7142 965.0 188
68.1702 986.0 188
68.6206 987.0 188
70.4169 2900.0 188
70.8728 2897.0 188
71.3232 2891.0 188
71.7627 2884.0 188
74.0259 912.0 188
74.4653 910.0 188
74.9213 907.0 188
75.3717 908.0 188
75.8276 907.0 188
76.2781 901.0 188
76.7340 899.0 188
77.1680 902.0 188
77.6239 900.0 188
78.0743 894.0 188
78.5303 893.0 188
78.9807 899.0 188
80.3265 1683.0 188
80.7770 1683.0 188
81.2329 1683.0 188
81.6833 1679.0 188
82.1393 1674.0 188
82.5897 1675.0 188
84.3860 2761.0 188
84.8419 2750.0 188
85.2924 2730.0 188
85.7483 2721.0 188
86.1987 2719.0 188
86.6547 2716.0 188
87.1051 2717.0 188
87.5610 2715.0 188
88.0115 2709.0 188
88.4509 2709.0 188
88.9014 2712.0 188
91.1700 743.0 188
91.6205 745.0 188
92.0764 749.0 188
92.5269 749.0 188
92.9663 743.0 188
97.4982 234.0 188
99.7174 234.0 188
100.1678 235.0 188
100.6238 235.0 188
101.0577 234.0 188
101.5137 230.0 188
102.8540 232.0 188
103.2935 235.0 188
105.5292 237.0 188
105.9796 240.0 188
106.4191 241.0 188
106.8750 241.0 188
107.3254 239.0 188
107.7649 237.0 188
108.6548 245.0 188
109.1052 252.0 188
109.5612 251.0 188
109.9951 252.0 188
110.8905 246.0 188
111.3409 240.0 188
112.2308 248.0 188
113.1207 253.0 188
113.5767 251.0 188
114.0271 253.0 188
114.4666 255.0 188
114.9170 256.0 188
115.3729 257.0 188
116.2628 264.0 188
116.7188 269.0 188
117.6086 269.0 188
118.0591 269.0 188
118.4985 267.0 188
118.9490 267.0 188
119.4049 271.0 188
120.7452 273.0 188
121.6406 275.0 188
122.0911 279.0 188
122.5415 280.0 188
122.9810 283.0 188
123.8873 281.0 188
127.0294 292.0 188
128.8092 309.0 188
130.6055 328.0 188
131.0614 344.0 188
131.5118 346.0 188
131.9513 353.0 188
132.4017 355.0 188
132.8577 355.0 188
133.7476 361.0 188
134.1870 368.0 188
134.6375 365.0 188
135.0769 365.0 188
135.5273 367.0 188
135.9668 365.0 188
136.4062 365.0 188
136.8567 369.0 188
138.1860 369.0 188
138.6365 367.0 188
139.5154 380.0 188
140.4053 386.0 188
140.8557 383.0 188
141.2952 388.0 188
141.7456 386.0 188
142.1851 385.0 188
142.6245 387.0 188
143.0750 388.0 188
143.9648 383.0 188
147.5134 186.0 188
151.5125 1167.0 188
151.9684 1173.0 188
152.4188 1183.0 188
152.8583 1188.0 188
153.3087 1190.0 188
153.7646 1193.0 188
154.2151 1190.0 188
154.6545 1173.0 188
155.1050 1162.0 188
155.5609 1166.0 188
155.9949 1166.0 188
156.4508 1160.0 188
156.9012 1155.0 188
176.0614 142.0 188
176.9348 138.0 188
177.3743 133.0 188
177.8082 133.0 188
178.2642 134.0 188
180.0110 133.0 188
184.8560 137.0 188
185.2954 141.0 188
185.7294 141.0 188
204.4666 1711.0 188
204.9060 1720.0 188
205.3400 1729.0 188
205.7794 1733.0 188
206.2299 1743.0 188
206.6693 1746.0 188
214.6069 1733.0 188
215.9363 1055.0 188
216.3702 1057.0 188
216.8262 1057.0 188
217.2656 1052.0 188
217.6996 1053.0 188
218.1390 1061.0 188
218.5895 1061.0 188
219.0289 1057.0 188
220.3583 1022.0 188
220.7922 993.0 188
221.2317 996.0 188
221.6711 985.0 188
222.5610 907.0 188
223.0115 900.0 188
223.4509 894.0 188
227.0105 1321.0 188
239.0460 1287.0 188
239.4800 1249.0 188
239.9359 1243.0 188
240.3699 1243.0 188
240.8093 1248.0 188
242.5616 1592.0 188
242.9956 1603.0 188
243.4351 1630.0 188
243.8745 1652.0 188
252.2186 3119.0 188
252.6526 3112.0 188
253.0920 3101.0 188
253.5425 3090.0 188
253.9819 3083.0 188
254.4214 3082.0 188
254.8553 3077.0 188
255.2948 3074.0 188
255.7343 3072.0 188
256.1682 3062.0 188
256.6077 3044.0 188
257.0416 3020.0 188
257.4976 3004.0 188
257.9370 3006.0 188
258.3710 3020.0 188
261.0132 3134.0 188
262.7765 3915.0 188
263.2159 3934.0 188
263.6554 3962.0 188
264.0894 3984.0 188
269.3738 718.0 188
269.8077 718.0 188
270.2637 723.0 188
270.7031 733.0 188
271.1371 736.0 188
271.5765 726.0 188
272.0105 720.0 188
275.9821 1746.0 188
277.2949 1225.0 188
277.7344 1224.0 188
279.4812 717.0 188
279.9207 718.0 188
280.3546 719.0 188
280.7941 719.0 188
281.2335 722.0 188
281.6675 727.0 188
282.1069 726.0 188
282.5464 726.0 188
282.9803 731.0 188
283.4198 734.0 188
283.8593 734.0 188
284.2932 736.0 188
284.7327 742.0 188
285.1666 749.0 188
286.0455 772.0 188
287.7924 774.0 188
288.2318 754.0 188
288.6713 749.0 188
289.1052 749.0 188
289.5447 758.0 188
289.9841 765.0 188
290.4181 765.0 188
290.8575 756.0 188
291.2915 753.0 188
291.7310 758.0 188
292.1704 761.0 188
292.6208 768.0 188
293.0603 772.0 188
293.4998 772.0 188
293.9337 781.0 188
295.2466 794.0 188
295.7025 795.0 188
296.1365 794.0 188
